Date Submitted,Workout Date,Activity Type,Calories Burned (kcal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"July 8, 2025","July 8, 2025",Run,130,1.38519,2510,30.2004,7.46963,1.98673,8.03253,,6272,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8628767889
"July 7, 2025","July 7, 2025",Run,134,1.60174,2477,25.7741,12.5687,2.32792,4.77377,,6235,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8628070494
"July 6, 2025","July 6, 2025",Run,93,1.12422,1694,25.1138,11.9514,2.38912,5.02033,,4270,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8627485703
"July 5, 2025","July 5, 2025",Run,74,0.884458,1370,25.8162,11.816,2.32412,5.07785,,3448,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8626942427
"July 4, 2025","July 4, 2025",Run,123,1.55092,2077,22.3202,10.3212,2.68815,5.81326,,5269,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8626557261
"July 4, 2025","July 4, 2025",Run,125,1.58528,2091,21.9835,12.4833,2.72932,4.80643,,5309,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8626347964
"July 3, 2025","July 3, 2025",Run,131,1.64773,2271,22.9711,13.3503,2.61198,4.4943,,5751,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8625723311
"July 2, 2025","July 2, 2025",Run,87,0.95178,1665,29.1559,13.7244,2.0579,4.37179,,4167,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8625018903
"July 2, 2025","July 1, 2025",Run,191,2.36578,2533,17.8447,2.21984,3.36234,27.029,,6517,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8625001477
"July 1, 2025","July 1, 2025",Run,88,1.00288,1641,27.2713,11.9528,2.20011,5.01976,,4119,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8624314362
"June 30, 2025","June 30, 2025",Run,62,0.685179,1195,29.0678,13.6454,2.06414,4.39709,,2991,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8623932379
"June 30, 2025","June 30, 2025",Run,104,1.25903,1898,25.1252,12.082,2.38804,4.96608,,4784,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8623664457
"June 29, 2025","June 29, 2025",Run,102,1.12565,1942,28.7537,13.7465,2.08669,4.36475,,4863,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8623347996
"June 29, 2025","June 29, 2025",Run,74,0.764642,1479,32.2373,9.54952,1.8612,6.28304,,3686,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8623161953
"June 28, 2025","June 28, 2025",Run,95,1.16705,1721,24.5777,8.895,2.44124,6.74536,,4343,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8622756274
"June 28, 2025","June 28, 2025",Run,93,1.00167,1784,29.6836,11.5324,2.02132,5.20272,,4461,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8622497532
"June 27, 2025","June 27, 2025",Run,126,1.58671,2212,23.2347,9.41711,2.58234,6.37138,,5598,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8622178857
"June 27, 2025","June 27, 2025",Run,160,1.56123,3467,37.0114,5.49305,1.62112,10.9229,,8595,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8621915801
"June 26, 2025","June 26, 2025",Run,93,1.05481,1746,27.5879,14.1851,2.17487,4.2298,,4381,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8621595579
"June 26, 2025","June 26, 2025",Run,122,1.279,2415,31.4698,8.91261,1.90659,6.73203,,6024,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8621337943
"June 24, 2025","June 24, 2025",Run,100,1.18398,1836,25.8449,11.5505,2.32154,5.19458,,4621,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8620095364
"June 24, 2025","June 23, 2025",Run,109,1.37253,1897,23.0354,8.86475,2.60469,6.76838,,4803,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8620087422
"June 21, 2025","June 21, 2025",Run,90,0.99226,1712,28.7559,14.7794,2.08653,4.05971,,4287,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8618544830
"June 21, 2025","June 21, 2025",Run,75,0.923159,1362,24.5895,11.322,2.44007,5.29943,,3437,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8618368557
